87 46 0 1
router.js:229 88 47 0 2
router.js:229 87 47 0 2
router.js:229 86 47 0 2
router.js:229 88 46 0 2
router.js:229 86 46 0 2
router.js:229 88 45 0 2
router.js:229 87 45 0 2
router.js:229 86 45 0 2
router.js:229 87 44 0 2
router.js:229 88 49 0 3
router.js:229 88 48 0 3
router.js:229 89 47 0 3
router.js:229 86 48 0 3
router.js:229 86 49 0 3
router.js:229 85 47 0 3
router.js:229 89 45 0 3
router.js:229 88 44 0 3
router.js:229 86 44 0 3
router.js:229 89 44 0 3
router.js:229 88 43 0 3
router.js:229 87 43 0 3
router.js:229 85 45 0 3
router.js:229 85 44 0 3
router.js:229 86 43 0 3
router.js:229 87 42 0 3
router.js:229 88 45 1 3
router.js:229 86 45 1 3
router.js:229 87 44 1 3
router.js:229 88 51 0 4
router.js:229 89 50 0 4
router.js:229 88 50 0 4
router.js:229 87 50 0 4
router.js:229 89 49 0 4
router.js:229 87 49 0 4
router.js:229 90 47 0 4
router.js:229 86 50 0 4
router.js:229 86 51 0 4
router.js:229 85 50 0 4
router.js:229 85 49 0 4
router.js:229 84 48 0 4
router.js:229 84 47 0 4
router.js:229 84 46 0 4
router.js:229 90 45 0 4
router.js:229 90 44 0 4
router.js:229 89 43 0 4
router.js:229 88 42 0 4
router.js:229 85 43 0 4
router.js:229 86 42 0 4
router.js:229 90 43 0 4
router.js:229 89 42 0 4
router.js:229 88 41 0 4
router.js:229 87 41 0 4
router.js:229 84 45 0 4
router.js:229 84 44 0 4
router.js:229 84 43 0 4
router.js:229 85 42 0 4
router.js:229 86 41 0 4
router.js:229 88 46 1 4
router.js:229 90 45 1 4
router.js:229 89 45 1 4
router.js:229 87 45 1 4
router.js:229 89 44 1 4
router.js:229 88 44 1 4
router.js:229 86 46 1 4
router.js:229 85 45 1 4
router.js:229 84 45 1 4
router.js:229 86 44 1 4
router.js:229 85 44 1 4
router.js:229 88 43 1 4
router.js:229 87 43 1 4
router.js:229 86 43 1 4
router.js:229 87 42 1 4
router.js:229 88 53 0 5
router.js:229 88 52 0 5
router.js:229 87 52 0 5
router.js:229 89 51 0 5
router.js:229 87 51 0 5
view.js:166 approximate wire length = 0
router.js:229 90 51 0 5
router.js:229 90 50 0 5
view.js:167 via number = 0
router.js:229 90 49 0 5
view.js:168 close via pair = 0
router.js:229 91 48 0 5
router.js:229 90 48 0 5
router.js:229 91 47 0 5
router.js:229 90 46 0 5
router.js:229 86 52 0 5
router.js:229 85 51 0 5
router.js:229 86 53 0 5
router.js:229 85 52 0 5
router.js:229 84 51 0 5
router.js:229 84 50 0 5
router.js:229 84 49 0 5
router.js:229 83 47 0 5
router.js:229 91 45 0 5
router.js:229 91 44 0 5
router.js:229 91 43 0 5
router.js:229 90 42 0 5
router.js:229 89 41 0 5
router.js:229 88 40 0 5
router.js:229 84 42 0 5
router.js:229 85 41 0 5
router.js:229 86 40 0 5
router.js:229 91 42 0 5
router.js:229 90 41 0 5
router.js:229 88 39 0 5
router.js:229 83 45 0 5
router.js:229 83 44 0 5
router.js:229 83 43 0 5
router.js:229 83 42 0 5
router.js:229 84 41 0 5
router.js:229 86 39 0 5
router.js:229 89 47 1 5
router.js:229 88 47 1 5
router.js:229 90 46 1 5
router.js:229 92 45 1 5
router.js:229 91 45 1 5
router.js:229 91 44 1 5
router.js:229 90 44 1 5
router.js:229 90 43 1 5
router.js:229 89 43 1 5
router.js:229 87 47 1 5
router.js:229 86 47 1 5
router.js:229 84 46 1 5
router.js:229 83 45 1 5
router.js:229 84 44 1 5
router.js:229 82 45 1 5
router.js:229 83 44 1 5
router.js:229 85 43 1 5
router.js:229 84 43 1 5
router.js:229 89 42 1 5
router.js:229 88 42 1 5
router.js:229 86 42 1 5
router.js:229 85 42 1 5
router.js:229 88 41 1 5
router.js:229 87 41 1 5
router.js:229 86 41 1 5
router.js:229 88 51 1 5
router.js:229 89 50 1 5
router.js:229 88 50 1 5
router.js:229 87 50 1 5
router.js:229 86 50 1 5
router.js:229 86 51 1 5
router.js:229 85 50 1 5
router.js:229 88 55 0 6
router.js:229 89 54 0 6
router.js:229 88 54 0 6
router.js:229 89 53 0 6
router.js:229 87 53 0 6
router.js:229 90 53 0 6
router.js:229 91 52 0 6
router.js:229 90 52 0 6
router.js:229 91 51 0 6
router.js:229 91 50 0 6
router.js:229 91 49 0 6
router.js:229 92 49 0 6
router.js:229 92 48 0 6
router.js:229 92 47 0 6
router.js:229 86 54 0 6
router.js:229 85 53 0 6
router.js:229 84 52 0 6
router.js:229 86 55 0 6
router.js:229 84 53 0 6
router.js:229 83 52 0 6
router.js:229 83 51 0 6
router.js:229 83 50 0 6
router.js:229 83 49 0 6
router.js:229 82 48 0 6
router.js:229 82 47 0 6
router.js:229 82 46 0 6
router.js:229 92 45 0 6
router.js:229 92 44 0 6
router.js:229 92 43 0 6
router.js:229 92 42 0 6
router.js:229 91 41 0 6
router.js:229 90 40 0 6
router.js:229 89 39 0 6
router.js:229 88 38 0 6
router.js:229 83 41 0 6
router.js:229 84 40 0 6
router.js:229 87 39 0 6
router.js:229 86 38 0 6
router.js:229 92 41 0 6
router.js:229 90 39 0 6
router.js:229 87 38 0 6
router.js:229 88 37 0 6
router.js:229 82 45 0 6
router.js:229 82 44 0 6
router.js:229 82 43 0 6
router.js:229 82 42 0 6
router.js:229 82 41 0 6
router.js:229 84 39 0 6
router.js:229 85 39 0 6
router.js:229 86 37 0 6
router.js:229 88 48 1 6
router.js:229 91 47 1 6
router.js:229 90 47 1 6
router.js:229 92 46 1 6
router.js:229 94 45 1 6
router.js:229 93 45 1 6
router.js:229 92 44 1 6
router.js:229 92 43 1 6
router.js:229 91 43 1 6
router.js:229 91 42 1 6
